2023.06.25 9:0:6,460;-84;14;-36
2023.06.25 9:0:6,710;-91;16;-40
2023.06.25 9:0:6,960;-92;14;-38
2023.06.25 9:0:7,230;-89;14;-36
2023.06.25 9:0:7,480;-91;14;-36
2023.06.25 9:0:7,730;-94;16;-40
2023.06.25 9:0:7,980;-105;17;-33
2023.06.25 9:0:8,230;-89;1;-32
2023.06.25 9:0:8,480;-91;0;-28
2023.06.25 9:0:8,730;-97;3;-32
2023.06.25 9:0:8,980;-84;-3;-36
2023.06.25 9:0:9,230;-89;-8;-32
2023.06.25 9:0:9,480;-96;-4;-32
2023.06.25 9:0:9,730;-100;0;-25
2023.06.25 9:0:9,980;-94;-12;-32
2023.06.25 9:0:10,230;-89;3;-36
2023.06.25 9:0:10,480;-91;-14;-28
2023.06.25 9:0:10,730;-96;-9;-36
2023.06.25 9:0:10,980;-99;-9;-30
2023.06.25 9:0:11,230;-100;-32;-35
2023.06.25 9:0:11,480;-88;-14;-44
2023.06.25 9:0:11,730;-86;8;-70
2023.06.25 9:0:11,980;-100;-48;4
2023.06.25 9:0:12,230;-41;-43;-51
2023.06.25 9:0:12,480;-80;-44;1
2023.06.25 9:0:12,730;-110;-8;-17
2023.06.25 9:0:12,980;-94;-30;-11
2023.06.25 9:0:13,230;-92;-25;-17
2023.06.25 9:0:13,480;-92;-17;-24
2023.06.25 9:0:13,730;-102;-24;-25
2023.06.25 9:0:13,980;-107;-8;-28
2023.06.25 9:0:14,230;-107;-17;-11
2023.06.25 9:0:14,480;-94;4;-25
2023.06.25 9:0:14,730;-94;0;-28
2023.06.25 9:0:14,980;-104;9;-25
2023.06.25 9:0:15,230;-84;-6;-28
2023.06.25 9:0:15,480;-92;-12;-30
2023.06.25 9:0:15,730;-88;-6;-28
2023.06.25 9:0:15,980;-97;-12;-28
2023.06.25 9:0:16,230;-89;-19;-27
2023.06.25 9:0:16,480;-91;-16;-22
2023.06.25 9:0:16,730;-89;-22;-25
2023.06.25 9:0:16,980;-96;-14;-28
2023.06.25 9:0:17,230;-88;-28;-24
2023.06.25 9:0:17,480;-92;-24;-27
