2023.07.13 1:59:31,140;-88;-8;-38
2023.07.13 1:59:31,390;-88;-4;-38
2023.07.13 1:59:31,640;-91;-8;-40
2023.07.13 1:59:31,900;-86;-9;-38
2023.07.13 1:59:32,150;-89;-1;-43
2023.07.13 1:59:32,400;-89;-8;-41
2023.07.13 1:59:32,650;-91;-4;-41
2023.07.13 1:59:32,900;-89;-4;-43
2023.07.13 1:59:33,150;-86;-3;-36
2023.07.13 1:59:33,400;-92;-3;-44
2023.07.13 1:59:33,650;-89;-6;-46
2023.07.13 1:59:33,900;-89;-8;-38
2023.07.13 1:59:34,150;-88;-6;-41
2023.07.13 1:59:34,400;-86;-1;-43
2023.07.13 1:59:34,650;-92;0;-44
2023.07.13 1:59:34,900;-94;0;-49
2023.07.13 1:59:35,150;-92;6;-46
2023.07.13 1:59:35,410;-81;-9;-44
2023.07.13 1:59:35,660;-83;-3;-51
2023.07.13 1:59:35,910;-78;-6;-43
2023.07.13 1:59:36,160;-89;-3;-51
2023.07.13 1:59:36,410;-83;-6;-49
2023.07.13 1:59:36,660;-84;-16;-36
2023.07.13 1:59:36,910;-83;-6;-44
2023.07.13 1:59:37,160;-89;-8;-44
2023.07.13 1:59:37,410;-83;-8;-46
2023.07.13 1:59:37,660;-88;-8;-48
2023.07.13 1:59:37,910;-83;-11;-44
2023.07.13 1:59:38,160;-89;-4;-51
2023.07.13 1:59:38,410;-96;-11;-44
2023.07.13 1:59:38,660;-94;-3;-43
2023.07.13 1:59:38,910;-86;-3;-36
2023.07.13 1:59:39,160;-88;-9;-33
2023.07.13 1:59:39,410;-92;-4;-43
2023.07.13 1:59:39,660;-88;-11;-32
2023.07.13 1:59:39,910;-92;-1;-41
2023.07.13 1:59:40,160;-88;-12;-27
2023.07.13 2:0:18,500;-94;44;-43
2023.07.13 2:0:18,750;-76;51;-56
2023.07.13 2:0:19,0;-86;51;-30
2023.07.13 2:0:19,250;-73;57;-35
2023.07.13 2:0:19,500;-91;46;-43
2023.07.13 2:0:19,750;-65;49;-36
2023.07.13 2:0:20,0;-78;49;-44
2023.07.13 2:0:20,250;-72;62;-54
2023.07.13 2:0:20,500;-83;51;-30
2023.07.13 2:0:20,750;-76;36;-41
2023.07.13 2:0:21,0;-78;32;-36
2023.07.13 2:0:21,250;-70;44;-40
2023.07.13 2:0:21,500;-78;49;-35
2023.07.13 2:0:21,750;-76;48;-36
2023.07.13 2:0:22,0;-73;48;-35
2023.07.13 2:0:22,250;-73;51;-41
2023.07.13 2:0:22,500;-76;38;-35
2023.07.13 2:0:22,750;-72;43;-36
2023.07.13 2:0:23,10;-73;46;-30
2023.07.13 2:0:23,260;-72;48;-38
2023.07.13 2:0:23,510;-80;52;-52
2023.07.13 2:0:23,760;-78;46;-41
2023.07.13 2:0:24,10;-68;52;-40
2023.07.13 2:0:24,260;-73;57;-48
2023.07.13 2:0:24,510;-67;49;-27
2023.07.13 2:0:24,760;-65;51;-24
2023.07.13 2:0:25,10;-73;57;-44
2023.07.13 2:0:25,260;-73;57;-51
2023.07.13 2:0:25,510;-70;49;-41
2023.07.13 2:0:25,760;-76;52;-48
2023.07.13 2:0:26,10;-62;48;-36
2023.07.13 2:0:26,260;-89;38;-30
2023.07.13 2:0:26,510;-94;44;-49
2023.07.13 2:0:26,760;-75;44;-44
2023.07.13 2:0:27,10;-92;54;-43
2023.07.13 2:0:27,260;-72;25;-64
2023.07.13 2:0:27,510;-83;46;-57
2023.07.13 2:0:37,50;-70;-4;-48
2023.07.13 2:0:37,300;-126;0;-41
2023.07.13 2:0:37,550;-73;3;-60
2023.07.13 2:0:37,820;-104;-8;-30
2023.07.13 2:0:38,70;-94;-4;-52
2023.07.13 2:0:38,320;-91;4;-36
2023.07.13 2:0:38,570;-89;0;-40
2023.07.13 2:0:38,820;-84;14;-46
2023.07.13 2:0:39,70;-91;12;-57
2023.07.13 2:0:39,320;-75;4;-52
2023.07.13 2:0:39,570;-72;12;-65
2023.07.13 2:0:39,820;-78;6;-56
2023.07.13 2:0:40,70;-88;14;-54
2023.07.13 2:0:40,320;-91;14;-52
2023.07.13 2:0:40,570;-86;6;-44
